Modality,Code system,Code,Description
Stem cell transplant,CPT,38240,Allogeneic transplantation per donor
Stem cell transplant,CPT,38241,Autologous transplantation
Stem cell transplant,HCPCS,S2140,"Cord blood harvesting for transplantation, allogeneic"
Stem cell transplant,HCPCS,S2142,"Cord blood-derived stem-cell transplantation, allogeneic"
Stem cell transplant,HCPCS,S2150,"Bone marrow or blood-derived stem cells (peripheral or umbilical), allogeneic or autologous, harvesting, transplantation, and related complications; including: pheresis and cell preparation/storage; marrow ablative therapy; drugs, supplies, hospitalization with outpatient follow-up; medical/surgical, diagnostic, emergency, and rehabilitative services; and the number of days of pre-and post-transplant care in the global definition"
Stem cell transplant,ICD-10-PCS,30230C0,"Transfusion of Autologous Hematopoietic Stem/Progenitor Cells, Genetically Modified into Peripheral Vein, Open Approach"
Stem cell transplant,ICD-10-PCS,30230G0,"Transfusion of Autologous Bone Marrow into Peripheral Vein, Open Approach"
Stem cell transplant,ICD-10-PCS,30230X0,"Transfusion of Autologous Cord Blood Stem Cells into Peripheral Vein, Open Approach"
Stem cell transplant,ICD-10-PCS,30230Y0,"Transfusion of Autologous Hematopoietic Stem Cells into Peripheral Vein, Open Approach"
Stem cell transplant,ICD-10-PCS,30233C0,"Transfusion of Autologous Hematopoietic Stem/Progenitor Cells, Genetically Modified into Peripheral Vein, Percutaneous Approach"
Stem cell transplant,ICD-10-PCS,30233G0,"Transfusion of Autologous Bone Marrow into Peripheral Vein, Percutaneous Approach"
Stem cell transplant,ICD-10-PCS,30233X0,"Transfusion of Autologous Cord Blood Stem Cells into Peripheral Vein, Percutaneous Approach"
Stem cell transplant,ICD-10-PCS,30233Y0,"Transfusion of Autologous Hematopoietic Stem Cells into Peripheral Vein, Percutaneous Approach"
Stem cell transplant,ICD-10-PCS,30240C0,"Transfusion of Autologous Hematopoietic Stem/Progenitor Cells, Genetically Modified into Central Vein, Open Approach"
Stem cell transplant,ICD-10-PCS,30240G0,"Transfusion of Autologous Bone Marrow into Central Vein, Open Approach"
Stem cell transplant,ICD-10-PCS,30240X0,"Transfusion of Autologous Cord Blood Stem Cells into Central Vein, Open Approach"
Stem cell transplant,ICD-10-PCS,30240Y0,"Transfusion of Autologous Hematopoietic Stem Cells into Central Vein, Open Approach"
